ImageID,Num_of_Positive,Num_of_Neutral,Num_of_Negative
6101204291,3,0,0
228954858,3,0,0
3782116777,3,0,0
4287743529,3,0,0
3778718189,3,0,0
4827891443,3,0,0
4788266703,3,0,0
155294564,3,0,0
4063928156,3,0,0
5396403077,3,0,0
6978137871,3,0,0
2226828705,3,0,0
2829085225,3,0,0
3665913240,3,0,0
6648289191,3,0,0
3802339361,3,0,0
6607360217,3,0,0
2376963446,3,0,0
5721628133,3,0,0
4146555980,3,0,0
1880483693,3,0,0
3536571540,3,0,0
5633120000,3,0,0
5512223570,3,0,0
2217270938,3,0,0
233063453,3,0,0
2089415495,3,0,0
5578659954,3,0,0
6171916287,3,0,0
6074760601,3,0,0
4835751120,3,0,0
3036914747,3,0,0
5578562711,3,0,0
95129742,3,0,0
6504623145,3,0,0
5415237701,3,0,0
3166231287,3,0,0
6170112660,3,0,0
2905158348,3,0,0
6019351600,3,0,0
2915302080,3,0,0
5027549996,3,0,0
2620488655,3,0,0
5079208093,3,0,0
3871190584,3,0,0
6860354010,3,0,0
5289373856,3,0,0
1322001414,3,0,0
3059429882,3,0,0
6465103027,3,0,0
414579931,3,0,0
4818600004,3,0,0
2765986867,3,0,0
3337511915,3,0,0
2952425842,3,0,0
3457847598,3,0,0
7228683048,3,0,0
5047576021,3,0,0
7278211644,3,0,0
6920035867,3,0,0
3296646130,3,0,0
2468794289,3,0,0
3928828950,3,0,0
5308701556,3,0,0
4072106356,3,0,0
7101856205,3,0,0
7003234156,3,0,0
6678463103,3,0,0
2891424311,3,0,0
5888834270,3,0,0
5266790796,3,0,0
454724828,3,0,0
5932121172,3,0,0
271269397,3,0,0
5561923507,3,0,0
5424625471,3,0,0
516927266,3,0,0
5890200561,3,0,0
5260711423,3,0,0
6003675069,3,0,0
1346563281,3,0,0
3531227733,3,0,0
6403085325,3,0,0
6970089859,3,0,0
3755550576,3,0,0
5980525859,3,0,0
4751618073,3,0,0
1960945212,3,0,0
5492259080,3,0,0
3689953747,3,0,0
5669244729,3,0,0
2451158222,3,0,0
2505566540,3,0,0
5697621460,3,0,0
4243082491,3,0,0
4334352890,3,0,0
3580066266,3,0,0
5337641654,3,0,0
